iter	Passed	Remaining
461	10028	7467
462	10049	7444
463	10074	7425
464	10093	7401
465	10113	7379
466	10135	7357
467	10158	7336
468	10181	7315
469	10204	7294
470	10226	7273
471	10247	7251
472	10270	7230
473	10292	7209
474	10317	7189
475	10339	7168
476	10361	7146
477	10384	7125
478	10406	7104
479	10427	7081
480	10448	7059
481	10470	7038
482	10493	7017
483	10515	6995
484	10538	6975
485	10559	6952
486	10581	6931
487	10603	6909
488	10624	6887
489	10647	6866
490	10669	6845
491	10692	6823
492	10715	6803
493	10739	6782
494	10761	6761
495	10783	6739
496	10805	6717
497	10827	6696
498	10850	6675
499	10873	6654
500	10895	6633
501	10919	6612
502	10941	6590
503	10963	6569
504	10984	6547
505	11005	6525
506	11026	6503
507	11048	6481
508	11070	6459
509	11092	6437
510	11114	6416
511	11134	6393
512	11157	6372
513	11179	6350
514	11200	6328
515	11222	6307
516	11244	6285
517	11267	6264
518	11289	6242
519	11312	6221
520	11333	6199
521	11356	6178
522	11378	6157
523	11401	6136
524	11423	6114
525	11445	6092
526	11466	6070
527	11489	6049
528	11511	6027
529	11533	6005
530	11552	5983
531	11572	5960
532	11591	5937
533	11613	5915
534	11633	5893
535	11653	5870
536	11675	5848
537	11695	5826
538	11715	5803
539	11735	5780
540	11758	5759
541	11779	5737
542	11800	5715
543	11821	5693
544	11842	5671
545	11864	5649
546	11885	5627
547	11906	5605
548	11928	5584
549	11948	5561
550	11969	5539
551	11989	5516
552	12009	5494
553	12030	5472
554	12051	5450
555	12073	5428
556	12095	5407
557	12118	5386
558	12139	5364
559	12162	5342
560	12184	5321
561	12206	5299
562	12228	5277
563	12249	5255
564	12272	5234
565	12293	5212
566	12314	5190
567	12336	5169
568	12359	5148
569	12381	5126
570	12404	5105
571	12425	5083
572	12448	5062
573	12469	5039
574	12493	5019
575	12515	4997
576	12537	4975
577	12560	4954
578	12583	4933
579	12606	4912
580	12630	4891
581	12653	4869
582	12676	4848
583	12700	4828
584	12724	4806
585	12746	4785
586	12770	4764
587	12794	4743
588	12824	4724
589	12867	4710
590	12901	4693
591	12928	4673
592	12950	4651
593	12975	4631
594	12997	4609
595	13018	4587
596	13038	4564
597	13060	4542
598	13080	4520
599	13104	4499
600	13127	4477
601	13149	4455
602	13170	4433
603	13192	4411
604	13211	4389
605	13234	4367
606	13254	4345
607	13273	4322
608	13292	4299
609	13311	4277
610	13331	4254
611	13351	4232
612	13374	4210
613	13397	4189
614	13419	4167
615	13439	4145
616	13459	4123
617	13480	4100
618	13501	4078
619	13525	4057
620	13546	4035
621	13566	4013
622	13586	3990
623	13606	3968
624	13626	3946
625	13649	3924
626	13671	3902
627	13691	3880
628	13714	3859
629	13734	3836
630	13755	3814
631	13775	3792
632	13795	3770
633	13817	3748
634	13838	3726
635	13858	3704
636	13878	3681
637	13898	3659
638	13918	3637
639	13938	3615
640	13959	3593
641	13980	3571
642	14000	3549
643	14022	3527
644	14041	3504
645	14064	3483
646	14084	3461
647	14104	3438
648	14126	3417
649	14146	3395
650	14165	3372
651	14186	3350
652	14211	3329
653	14244	3310
654	14270	3289
655	14291	3267
656	14313	3246
657	14339	3225
658	14361	3203
659	14383	3181
660	14404	3159
661	14425	3137
662	14443	3115
663	14464	3093
664	14484	3071
665	14505	3049
666	14525	3026
667	14545	3004
668	14565	2982
669	14585	2960
670	14607	2938
671	14627	2916
672	14648	2894
673	14672	2873
674	14700	2853
675	14723	2831
676	14747	2810
677	14769	2788
678	14790	2766
679	14817	2745
680	14838	2723
681	14861	2702
682	14882	2680
683	14905	2658
684	14928	2637
685	14949	2615
686	14969	2593
687	14993	2571
688	15014	2549
689	15034	2527
690	15056	2505
691	15077	2483
692	15100	2462
693	15122	2440
694	15143	2418
695	15165	2396
696	15185	2374
697	15211	2353
698	15237	2332
699	15261	2310
700	15291	2290
701	15320	2269
702	15345	2248
703	15367	2226
704	15389	2204
705	15412	2183
706	15433	2161
707	15457	2139
708	15481	2118
709	15503	2096
710	15525	2074
711	15546	2052
712	15567	2030
713	15590	2008
714	15611	1986
715	15634	1965
716	15658	1943
717	15679	1921
718	15701	1899
719	15721	1877
720	15743	1856
721	15765	1834
722	15787	1812
723	15807	1790
724	15829	1768
725	15849	1746
726	15872	1724
727	15894	1702
728	15916	1681
729	15935	1659
730	15955	1637
731	15975	1615
732	15995	1592
733	16014	1570
734	16035	1548
735	16056	1527
736	16078	1505
737	16098	1483
738	16119	1461
739	16140	1439
740	16162	1417
741	16186	1396
742	16206	1374
743	16227	1352
744	16246	1330
745	16269	1308
746	16296	1287
747	16316	1265
748	16342	1243
749	16363	1221
750	16386	1200
751	16408	1178
752	16431	1156
753	16454	1134
754	16476	1112
755	16498	1091
756	16523	1069
757	16548	1047
758	16571	1026
759	16593	1004
760	16620	982
761	16647	961
762	16673	939
763	16698	917
764	16721	896
765	16745	874
766	16769	852
767	16792	830
768	16815	809
769	16836	787
770	16857	765
771	16877	743
772	16897	721
773	16916	699
774	16935	677
775	16959	655
776	16982	633
777	17006	612
778	17029	590
779	17049	568
780	17071	546
781	17092	524
782	17113	502
783	17135	480
784	17158	459
785	17183	437
786	17214	415
787	17241	393
788	17268	372
789	17294	350
790	17322	328
791	17347	306
792	17375	284
793	17401	262
794	17426	241
795	17450	219
796	17471	197
797	17492	175
798	17512	153
799	17532	131
800	17554	109
801	17580	87
802	17602	65
803	17625	43
804	17646	21
805	17666	0
