iter	RMSE
0	0.1208686951
1	0.1049806481
2	0.09260108528
3	0.08357374785
4	0.07677591022
5	0.07204715073
6	0.06794098865
7	0.06533129553
8	0.0637778111
9	0.06229524056
10	0.06128613055
11	0.06070787286
12	0.06007431408
13	0.05916520763
14	0.05843860212
15	0.05816598474
16	0.0578215634
17	0.05732441426
18	0.05683870607
19	0.05657823741
20	0.05614138829
21	0.05598508368
22	0.05586054999
23	0.05560861187
24	0.05548645535
25	0.05489332691
26	0.05465055493
27	0.05458427051
28	0.05443087615
29	0.05429836974
30	0.05406855993
31	0.05363391228
32	0.05348894146
33	0.05315401514
34	0.05291107929
35	0.05283529232
36	0.0526421004
37	0.0523411202
38	0.05222185646
39	0.05198449103
40	0.05187621229
41	0.05177727394
42	0.05169643277
43	0.05146757109
44	0.05116346051
45	0.05102120936
46	0.05092558881
47	0.05074484175
48	0.05062430428
49	0.05026392108
50	0.05006601976
51	0.04986657008
52	0.0496664058
53	0.04956987308
54	0.04931016033
55	0.0491769074
56	0.04907461758
57	0.04889065819
58	0.04878395794
59	0.04860104743
60	0.04847692259
61	0.04825555116
62	0.04815689239
63	0.0480136079
64	0.04775195234
65	0.04761744164
66	0.04750338801
67	0.04740552797
68	0.04730562275
69	0.04717403223
70	0.04708260749
71	0.04698010266
72	0.0468396667
73	0.0467660816
74	0.04670370161
75	0.04655250707
76	0.04648117217
77	0.04638528593
78	0.04625381304
79	0.04617580767
80	0.04603366804
81	0.04589343663
82	0.04577292459
83	0.04558656928
84	0.04553453198
85	0.04537785049
86	0.0453330388
87	0.04522911486
88	0.04511060304
89	0.04500635006
90	0.04494260615
91	0.04483201835
92	0.0447588047
93	0.04469376558
94	0.04465058242
95	0.0445040486
96	0.0443421566
97	0.04422685255
98	0.04418357575
99	0.04408888524
100	0.04397114072
101	0.04385257699
102	0.04376824094
103	0.04367650192
104	0.04360129834
105	0.04351263236
106	0.04345286965
107	0.04338120239
108	0.04322384467
109	0.04318318768
110	0.04306004927
111	0.04296292323
112	0.04281890058
113	0.04274029913
114	0.04267597507
115	0.04254089277
116	0.04247395497
117	0.04241281096
118	0.04236593206
119	0.04227253875
120	0.04219467692
121	0.04214032194
122	0.04206364779
123	0.0419647295
124	0.04195263874
125	0.04185668195
126	0.04172421688
127	0.04161810497
128	0.04156591631
129	0.04146117824
130	0.04139108676
131	0.04131305685
132	0.04121063936
133	0.04114645341
134	0.04105948067
135	0.04099424961
136	0.04094389665
137	0.04085479899
138	0.04079561218
139	0.04072474388
140	0.04064917151
141	0.04057697875
142	0.04050973906
143	0.04044133531
144	0.04037838277
145	0.04031331352
146	0.04019500773
147	0.04015753719
148	0.04010174053
149	0.04003724569
150	0.0399482829
151	0.03991350997
152	0.03987612752
153	0.03980369471
154	0.03972185819
155	0.03961919304
156	0.03955104148
157	0.03950476682
158	0.03944164928
159	0.03936629939
160	0.03928030291
161	0.03917765172
162	0.03908297559
163	0.03902934583
164	0.03888996053
165	0.03883389942
166	0.03878864204
167	0.03873156574
168	0.03868785697
169	0.03864878417
170	0.03858604836
171	0.03856317658
172	0.03851639364
173	0.03847450962
174	0.03842603151
175	0.03836172653
176	0.03830557397
177	0.038214815
178	0.03817074275
179	0.03810096675
180	0.03806053227
181	0.03799673679
182	0.03795275303
183	0.03792640678
184	0.03786279431
185	0.03779131428
186	0.0377177403
187	0.03768989501
188	0.03762971462
189	0.03754676444
